ExptDateTime,Temperature,Humidity,Pressure,WindSpeed,WindDirection
1/11/2015 0:00,22.7,94,968.2,0,359
1/11/2015 1:00,22.5,96,968.8,0.2,142
1/11/2015 2:00,23.5,95,969.8,0,359
1/11/2015 3:00,26.1,77,970.5,0.8,236
1/11/2015 4:00,27.3,70,971,0.9,244
1/11/2015 5:00,28.5,65,970.7,1.2,296
1/11/2015 6:00,29.9,58,969.8,0.3,208
1/11/2015 7:00,29.8,59,968.3,1.1,12
1/11/2015 8:00,30.5,55,967.3,0.3,359
1/11/2015 9:00,29.9,62,966.2,0.8,72
1/11/2015 10:00,28.2,70,966.4,1,127
1/11/2015 11:00,23.1,98,966.9,1,106
1/11/2015 12:00,23.4,97,967.4,4.1,129
1/11/2015 13:00,22.9,96,969,1.5,84
1/11/2015 14:00,22.7,0,970,0.5,356
1/11/2015 15:00,22.6,0,971,0.8,25
1/11/2015 16:00,22.6,0,971.2,0.9,34
1/11/2015 17:00,22.6,0,971.1,0.4,33
1/11/2015 18:00,22.3,0,970.6,0.2,7
1/11/2015 19:00,22.4,0,970.5,1,359
1/11/2015 20:00,22.3,0,969.9,0,359
1/11/2015 21:00,22.3,0,969.3,0.5,17
1/11/2015 22:00,22.2,0,968.9,1.1,29
1/11/2015 23:00,22.2,0,969,0.6,20
2/11/2015 0:00,22.1,0,969.5,0.3,84
2/11/2015 1:00,22.4,0,970.4,0,359
2/11/2015 2:00,22.6,0,971.2,0.3,40
2/11/2015 3:00,23,0,971.7,0.2,3
2/11/2015 4:00,23.8,0,972.1,0.7,299
2/11/2015 5:00,25.3,88,971.7,0.8,186
2/11/2015 6:00,26.9,76,970.9,0.5,303
2/11/2015 7:00,28.8,69,969.8,0.5,254
2/11/2015 8:00,29.6,66,968.5,1.2,141
2/11/2015 9:00,28.7,66,967.7,1.2,135
2/11/2015 10:00,27.6,72,967.5,2,147
2/11/2015 11:00,28.1,68,967.4,1,116
2/11/2015 12:00,27,74,968.1,1.5,106
2/11/2015 13:00,26.3,78,968.9,0.9,68
2/11/2015 14:00,26.1,82,969.8,1,133
2/11/2015 15:00,25.6,85,970.6,1.2,126
2/11/2015 16:00,25.2,88,971.4,0.8,0
2/11/2015 17:00,24.9,90,971.2,0.1,132
2/11/2015 18:00,24.4,95,970.9,0.3,131
2/11/2015 19:00,24.6,94,970.3,0.5,106
2/11/2015 20:00,24.7,93,969.7,0.4,299
2/11/2015 21:00,24.2,88,969.8,0.5,205
2/11/2015 22:00,24,93,969.4,0.6,302
2/11/2015 23:00,23.5,98,969.7,0.2,3
3/11/2015 0:00,23.7,98,970.1,0,359
3/11/2015 1:00,23.3,93,969.9,0.6,96
3/11/2015 2:00,24,93,970.3,0.3,276
3/11/2015 3:00,25.1,89,970.9,0.2,287
3/11/2015 4:00,26.6,84,971.1,1.6,152
3/11/2015 5:00,28.7,72,971.3,1.2,148
3/11/2015 6:00,28.1,74,970.5,1.7,143
3/11/2015 7:00,26.3,85,969.5,1.2,58
3/11/2015 8:00,26.9,79,968.3,2.8,142
3/11/2015 9:00,23.8,96,968.4,1.3,167
3/11/2015 10:00,23.6,98,968.3,1,13
3/11/2015 11:00,23.2,96,969,0.6,38
3/11/2015 12:00,23,97,969.5,0,359
3/11/2015 13:00,23.1,99,970,0.1,193
3/11/2015 14:00,23.1,0,970.4,0.3,244
3/11/2015 15:00,23.1,0,970.9,0,359
3/11/2015 16:00,23.2,0,971.5,0.4,168
3/11/2015 17:00,23.1,0,971.3,0.2,340
3/11/2015 18:00,22.7,0,971,0.3,108
3/11/2015 19:00,22.6,0,970.5,0,359
3/11/2015 20:00,22.6,0,969.7,0,359
3/11/2015 21:00,22.5,0,969.1,0,359
3/11/2015 22:00,22.4,0,968.9,0.6,346
3/11/2015 23:00,22.4,0,968.9,0.5,71
4/11/2015 0:00,22.6,0,969.3,0.3,133
4/11/2015 1:00,22.6,0,970,0.2,182
4/11/2015 2:00,23.3,0,970.6,0.4,48
4/11/2015 3:00,24.7,92,970.9,0.5,9
4/11/2015 4:00,27.4,73,971.3,0.7,65
4/11/2015 5:00,28.6,67,970.6,2,359
4/11/2015 6:00,29.9,63,970,1.1,88
4/11/2015 7:00,30.2,61,969,2.1,92
4/11/2015 8:00,29.8,61,968,1.9,29
4/11/2015 9:00,29.9,58,967.2,1.1,72
4/11/2015 10:00,30.2,59,966.7,0.9,86
4/11/2015 11:00,27.7,73,966.8,2,73
4/11/2015 12:00,26.3,80,967.2,1.7,59
4/11/2015 13:00,25.8,81,968.4,1.5,58
4/11/2015 14:00,25.2,81,969.5,1.3,54
4/11/2015 15:00,24.2,86,970.2,1.4,79
4/11/2015 16:00,24.6,90,970.7,0.5,233
4/11/2015 17:00,24.6,91,970.5,0.4,268
4/11/2015 18:00,24.5,92,970.2,0,359
4/11/2015 19:00,24.3,94,969.7,0,359
4/11/2015 20:00,24.3,93,968.9,0,359
4/11/2015 21:00,24.1,95,968.4,0.3,23
4/11/2015 22:00,24,96,968.4,0.2,337
4/11/2015 23:00,24,97,968.7,0,359
5/11/2015 0:00,23.8,98,969.3,0,359
5/11/2015 1:00,23.1,99,969.9,0,359
5/11/2015 2:00,25.1,96,970.8,0.4,93
5/11/2015 3:00,26.9,79,971.1,0.9,19
5/11/2015 4:00,28.4,71,971.4,1.1,347
5/11/2015 5:00,29.3,64,970.7,2.3,89
5/11/2015 6:00,30,60,970,1.8,106
5/11/2015 7:00,30.1,59,968.8,1,85
5/11/2015 8:00,30.5,57,967.9,0.8,145
5/11/2015 9:00,30.4,55,966.8,0.9,12
5/11/2015 10:00,30,58,966.4,0.7,347
5/11/2015 11:00,30.3,56,966.3,0.2,62
5/11/2015 12:00,28.4,65,966.9,1,104
5/11/2015 13:00,26.7,78,967.5,1.5,122
5/11/2015 14:00,26.1,81,968.7,0.9,132
5/11/2015 15:00,25.5,81,969.8,1.2,75
5/11/2015 16:00,24.8,79,970.3,1.5,71
5/11/2015 17:00,24.3,81,970.8,0.3,122
5/11/2015 18:00,24.2,88,970.5,1,107
5/11/2015 19:00,23.6,90,969.7,0,359
5/11/2015 20:00,23,92,968.9,0.3,231
5/11/2015 21:00,22.5,95,968,0.4,118
5/11/2015 22:00,22.2,96,967.8,0,359
5/11/2015 23:00,22.1,97,967.9,0.1,340
6/11/2015 0:00,21.9,98,968.4,0.3,99
6/11/2015 1:00,21.6,99,968.8,0.2,120
6/11/2015 2:00,23.2,94,969.7,0.4,275
6/11/2015 3:00,26.6,76,969.9,0.7,248
6/11/2015 4:00,28,66,970,1.3,19
6/11/2015 5:00,28.6,62,969.7,1.3,8
6/11/2015 6:00,29,63,968.9,1,8
6/11/2015 7:00,29.9,58,967.6,1.4,26
6/11/2015 8:00,29.4,60,966.7,1.6,45
6/11/2015 9:00,29.9,63,966,1.3,43
6/11/2015 10:00,28.9,60,965.7,1,75
6/11/2015 11:00,28,63,966,1.7,54
6/11/2015 12:00,27,72,966.7,0.9,91
6/11/2015 13:00,26.2,77,967.6,1.9,66
6/11/2015 14:00,25.9,79,968.7,1.8,80
6/11/2015 15:00,25.5,82,969.4,1.2,82
6/11/2015 16:00,25,85,969.8,1.4,83
6/11/2015 17:00,24.7,86,970,0.3,233
6/11/2015 18:00,24.3,90,969.5,0.4,107
6/11/2015 19:00,24,92,968.9,0.3,325
6/11/2015 20:00,23.9,93,968.5,0,359
6/11/2015 21:00,23.6,94,967.7,0.2,301
6/11/2015 22:00,23,96,967.6,0.1,83
6/11/2015 23:00,22.7,97,968.3,0,359
7/11/2015 0:00,22.4,97,968.8,0,359
7/11/2015 1:00,22.3,98,969.7,0,359
7/11/2015 2:00,23.9,92,970.4,0.4,154
7/11/2015 3:00,25.3,83,971.2,0.7,177
7/11/2015 4:00,26.9,71,971.3,1,30
7/11/2015 5:00,28.3,63,970.7,2.6,62
7/11/2015 6:00,29.1,59,969.8,2,44
7/11/2015 7:00,29.3,57,968.5,1.7,75
7/11/2015 8:00,30.2,57,967.4,1.4,26
7/11/2015 9:00,29.3,57,966.5,2.2,88
7/11/2015 10:00,27.8,64,966.2,2,76
7/11/2015 11:00,27.2,69,966.5,0.5,54
7/11/2015 12:00,26.4,71,967.2,1.1,101
7/11/2015 13:00,26,74,967.6,2.4,65
7/11/2015 14:00,25.5,76,969,2.2,65
7/11/2015 15:00,25.5,76,970.2,1.2,66
7/11/2015 16:00,25.1,75,970.8,1.9,77
7/11/2015 17:00,24.3,80,970.6,0.7,49
7/11/2015 18:00,23.6,83,970.2,0,359
7/11/2015 19:00,22.8,88,969.9,0.4,162
7/11/2015 20:00,22.8,91,968.8,0,359
7/11/2015 21:00,22.9,91,968.5,0,359
7/11/2015 22:00,22.6,93,968.1,0.3,29
7/11/2015 23:00,22.4,95,967.8,0,359
8/11/2015 0:00,22.4,97,968.5,0,359
8/11/2015 1:00,22.6,97,969.6,0.2,344
8/11/2015 2:00,22.9,99,970.3,0.1,174
8/11/2015 3:00,23.4,96,971.2,0.9,48
8/11/2015 4:00,23.7,97,971,0.3,348
8/11/2015 5:00,24.7,90,970.8,0.8,40
8/11/2015 6:00,25.1,87,970.1,0.2,7
8/11/2015 7:00,25.6,85,968.5,0.7,2
8/11/2015 8:00,26.1,83,967.5,0.8,45
8/11/2015 9:00,26.4,80,967.1,0.2,359
8/11/2015 10:00,25.7,82,966.9,0.6,85
8/11/2015 11:00,25,84,967.1,1.2,75
8/11/2015 12:00,24.5,85,967.3,0.3,12
8/11/2015 13:00,23.2,88,968,1.3,64
8/11/2015 14:00,22.5,92,968.5,0.4,67
8/11/2015 15:00,22.7,96,969.5,0.3,28
8/11/2015 16:00,22.6,99,969.4,0.6,326
8/11/2015 17:00,22.5,0,968.6,0.5,298
8/11/2015 18:00,22.5,0,968.1,0.3,46
8/11/2015 19:00,22.6,0,967.2,0.6,334
8/11/2015 20:00,22.6,0,966.1,0.2,159
8/11/2015 21:00,22.6,0,965.7,0.6,337
8/11/2015 22:00,22.5,0,964.9,0.3,70
8/11/2015 23:00,22.5,0,965.4,0.2,84
9/11/2015 0:00,22.3,0,965.8,0.4,357
9/11/2015 1:00,22.3,0,967,0.4,56
9/11/2015 2:00,22.2,0,966.9,1.8,341
9/11/2015 3:00,22.1,0,967.1,1.1,2
9/11/2015 4:00,22.3,0,966.6,1.7,66
9/11/2015 5:00,22.2,0,966.8,0.2,62
9/11/2015 6:00,22.5,0,965.7,0.7,77
9/11/2015 7:00,22.4,0,964.8,1.1,31
9/11/2015 8:00,22.8,0,963.2,1.9,359
9/11/2015 9:00,22.7,0,961.9,1,346
9/11/2015 10:00,22.6,0,961.5,0.8,82
9/11/2015 11:00,22.5,0,962,0.6,75
9/11/2015 12:00,22.4,0,962.4,1.3,13
9/11/2015 13:00,22.5,0,962.7,0.8,11
9/11/2015 14:00,22.4,0,963.5,1.2,52
9/11/2015 15:00,22.3,0,964,0.5,345
9/11/2015 16:00,21.7,0,964.2,0.9,44
9/11/2015 17:00,21.8,0,964,1,7
9/11/2015 18:00,21.8,0,964,1.2,69
9/11/2015 19:00,21.7,0,963.1,0.6,27
9/11/2015 20:00,21.9,0,962.7,0.3,10
9/11/2015 21:00,22,0,961.9,1.2,0
9/11/2015 22:00,21.9,0,961.3,0.7,33
9/11/2015 23:00,21.8,0,961.3,0.9,33
10/11/2015 0:00,21.7,0,961.7,0.8,25
10/11/2015 1:00,22,0,962.5,0.6,0
10/11/2015 2:00,22.2,0,963.4,0.1,300
10/11/2015 3:00,22.6,0,964.2,0.5,21
10/11/2015 4:00,23.1,0,964.7,1.7,65
10/11/2015 5:00,23.3,0,964.5,1.1,356
10/11/2015 6:00,23.5,0,963.8,1.1,54
10/11/2015 7:00,23.7,0,963,1.8,45
10/11/2015 8:00,23.6,0,962.4,1.4,56
10/11/2015 9:00,23.3,0,962,0.8,13
10/11/2015 10:00,22.9,0,962.1,1.5,38
10/11/2015 11:00,22.8,0,962.5,1.1,59
10/11/2015 12:00,22.6,0,963.1,1.2,50
10/11/2015 13:00,22.2,0,964.1,1.9,44
10/11/2015 14:00,22.1,0,965.2,1.7,78
10/11/2015 15:00,22.2,0,965.8,0.8,55
10/11/2015 16:00,22.2,0,966.2,1.6,72
10/11/2015 17:00,22.5,0,966.4,1.7,55
10/11/2015 18:00,22.4,0,966.3,0.4,34
10/11/2015 19:00,22.4,0,965.9,2.2,71
10/11/2015 20:00,22.2,0,965.3,2.2,49
10/11/2015 21:00,22.1,0,965.1,1.3,44
10/11/2015 22:00,22.1,0,964.8,1.8,57
10/11/2015 23:00,22.2,0,965,1,57
11/11/2015 0:00,22.3,0,965.7,0.9,75
11/11/2015 1:00,22.2,0,966.7,0.7,38
11/11/2015 2:00,22.5,0,967.7,1.5,68
11/11/2015 3:00,22.7,0,968.8,0.6,99
11/11/2015 4:00,22.8,0,969.1,0.4,26
11/11/2015 5:00,23.4,0,969.1,0.8,51
11/11/2015 6:00,23.6,0,968.8,0.7,46
11/11/2015 7:00,23.7,0,968,1.2,33
11/11/2015 8:00,23.8,0,967.3,2.1,47
11/11/2015 9:00,22.7,0,966.7,1.7,45
11/11/2015 10:00,22.4,0,966.7,1.3,359
11/11/2015 11:00,22.4,0,966.8,0.4,24
11/11/2015 12:00,22.4,0,967.6,0.3,25
11/11/2015 13:00,22.5,0,968.2,0,359
11/11/2015 14:00,22.5,0,969.1,0.5,138
11/11/2015 15:00,22.5,0,970.2,0,359
11/11/2015 16:00,22.4,0,970.5,0.5,184
11/11/2015 17:00,22.4,0,970.7,0.6,139
11/11/2015 18:00,22.3,0,970.6,0.6,144
11/11/2015 19:00,22.3,0,970.1,0,359
11/11/2015 20:00,22.3,0,969.7,0,359
11/11/2015 21:00,22.2,0,968.9,0.7,53
11/11/2015 22:00,22,0,968.4,0,359
11/11/2015 23:00,21.7,0,968.3,0,359
12/11/2015 0:00,21.3,0,968.7,0,359
12/11/2015 1:00,21.1,0,969.6,1,28
12/11/2015 2:00,22.1,0,970.4,0.8,9
12/11/2015 3:00,23.4,0,970.9,0.5,324
12/11/2015 4:00,26,98,971.3,0.9,357
12/11/2015 5:00,27.6,85,971.3,2.5,89
12/11/2015 6:00,27,84,970.7,2.8,67
