TIME,TIME,RSTPS,RSTPSU7,NLCII/1,NLC II/2,NLCEXP,KAPS,KGSU34,MAPS,TALST2,TALCHER,KAHALG,FARAKA,SIMHST2,KKNPPU2,VALLURNTE,CL   KKNP,NLC2EXP,NTPL
BLOCK,PERIOD,(MW),(MW),(MW),(MW),(MW),(MW),(MW),(MW),(MW),(MW),(MW),(MW),(MW),(MW),(MW),(MW),(MW),(MW)
1,0000-0015,2000,482,341,701,385,410,415,370,1400,460,540,1500,960,620,1380,0,195,948
2,0015-0030,2000,482,341,701,385,410,415,370,1400,460,540,1500,960,620,1380,0,195,948
3,0030-0045,2000,482,341,701,385,410,415,370,1400,460,540,1500,960,620,1380,0,195,948
4,0045-0100,2000,482,341,701,385,410,415,370,1400,460,540,1500,960,620,1380,0,195,948
5,0100-0115,2000,482,341,701,385,410,415,370,1400,460,540,1500,960,620,1380,0,195,948
6,0115-0130,2000,482,341,701,385,410,415,370,1400,460,540,1500,960,620,1380,0,195,948
7,0130-0145,2000,482,341,701,385,410,415,370,1400,460,540,1500,960,620,1380,0,195,948
8,0145-0200,2000,482,341,701,385,410,415,370,1400,460,540,1500,960,620,1380,0,195,948
9,0200-0215,2000,482,338,696,385,410,415,370,1400,460,540,1500,960,620,1380,0,195,948
10,0215-0230,2000,482,338,696,385,410,415,370,1400,460,540,1500,960,620,1380,0,195,948
11,0230-0245,2000,482,338,696,385,410,415,370,1400,460,540,1500,960,620,1380,0,200,948
12,0245-0300,2000,482,338,696,385,410,415,370,1400,460,540,1500,960,620,1380,0,200,948
13,0300-0315,2000,482,338,696,385,410,415,370,1400,460,540,1500,960,620,1380,0,200,948
14,0315-0330,2000,482,338,696,385,410,415,370,1400,460,540,1500,960,620,1380,0,200,948
15,0330-0345,2000,482,338,696,385,410,415,370,1440,460,540,1500,960,620,1380,0,200,948
16,0345-0400,2000,482,338,696,385,410,415,370,1480,460,540,1500,960,620,1380,0,210,948
17,0400-0415,2000,482,338,696,385,410,415,370,1510,460,540,1500,960,620,1380,0,210,948
18,0415-0430,2000,482,338,696,385,410,415,370,1550,460,540,1500,960,620,1380,0,210,948
19,0430-0445,2000,482,338,696,385,410,415,370,1590,460,540,1500,960,620,1380,0,210,948
20,0445-0500,2000,482,338,696,385,410,415,370,1630,460,540,1500,960,620,1380,0,210,948
21,0500-0515,2000,482,338,696,385,410,415,370,1670,460,540,1500,960,620,1380,0,210,948
22,0515-0530,2000,482,338,696,385,410,415,370,1710,460,540,1500,960,620,1380,0,210,948
