Year,Month,Day,UT time,Wind speed,Wind direction
2015,11,1,0.25,3.2266,152.1565
2015,11,1,0.5,3.2218,152.3708
2015,11,1,0.75,3.217,152.5857
2015,11,1,1,3.2122,152.8012
2015,11,1,1.25,3.3457,152.7827
2015,11,1,1.5,3.4792,152.7656
2015,11,1,1.75,3.6127,152.7497
2015,11,1,2,3.7462,152.735
2015,11,1,2.25,3.8658,153.3491
2015,11,1,2.5,3.9858,153.9262
2015,11,1,2.75,4.1062,154.4696
2015,11,1,3,4.2269,154.9819
2015,11,1,3.25,4.3446,155.6342
2015,11,1,3.5,4.4627,156.252
2015,11,1,3.75,4.5814,156.8379
2015,11,1,4,4.7005,157.3941
2015,11,1,4.25,4.7945,158.4374
2015,11,1,4.5,4.89,159.4402
2015,11,1,4.75,4.987,160.4044
2015,11,1,5,5.0854,161.3315
2015,11,1,5.25,5.171,162.5546
2015,11,1,5.5,5.2589,163.7374
2015,11,1,5.75,5.3489,164.8808
2015,11,1,6,5.441,165.986
2015,11,1,6.25,5.4871,167.3605
2015,11,1,6.5,5.5363,168.7113
2015,11,1,6.75,5.5885,170.0377
2015,11,1,7,5.6436,171.3388
2015,11,1,7.25,5.6305,172.4357
2015,11,1,7.5,5.6194,173.5373
2015,11,1,7.75,5.6104,174.6429
2015,11,1,8,5.6035,175.7516
2015,11,1,8.25,5.5373,176.2321
2015,11,1,8.5,5.4716,176.7241
2015,11,1,8.75,5.4063,177.2281
2015,11,1,9,5.3414,177.7443
2015,11,1,9.25,5.241,177.7979
2015,11,1,9.5,5.1407,177.8535
2015,11,1,9.75,5.0403,177.9114
2015,11,1,10,4.94,177.9716
2015,11,1,10.25,4.7698,177.977
2015,11,1,10.5,4.5996,177.9828
2015,11,1,10.75,4.4294,177.989
2015,11,1,11,4.2591,177.9957
2015,11,1,11.25,4.0385,178.1512
2015,11,1,11.5,3.818,178.3246
2015,11,1,11.75,3.5974,178.5193
2015,11,1,12,3.3769,178.7394
2015,11,1,12.25,3.358,178.8047
2015,11,1,12.5,3.339,178.8708
2015,11,1,12.75,3.3201,178.9376
2015,11,1,13,3.3012,179.0052
2015,11,1,13.25,3.3123,178.8568
2015,11,1,13.5,3.3235,178.7094
2015,11,1,13.75,3.3347,178.563
2015,11,1,14,3.3459,178.4176
2015,11,1,14.25,3.3431,178.2177
2015,11,1,14.5,3.3404,178.0175
2015,11,1,14.75,3.3377,177.8169
2015,11,1,15,3.335,177.6161
2015,11,1,15.25,3.323,177.4566
2015,11,1,15.5,3.311,177.2959
2015,11,1,15.75,3.299,177.134
2015,11,1,16,3.287,176.971
2015,11,1,16.25,3.2543,177.2993
2015,11,1,16.5,3.2217,177.6342
2015,11,1,16.75,3.1892,177.976
2015,11,1,17,3.1568,178.3248
2015,11,1,17.25,3.1264,178.8118
2015,11,1,17.5,3.0962,179.3084
2015,11,1,17.75,3.0662,179.8147
2015,11,1,18,3.0365,180.3309
2015,11,1,18.25,3.015,180.968
2015,11,1,18.5,2.9938,181.6142
2015,11,1,18.75,2.973,182.2695
2015,11,1,19,2.9526,182.934
